,text,label,emotion
0,what did you do  and then make a small gesture of sadness and then make an exaggerated gesture of sadness you can also take a short sentence and say,0,sadness
1,i think that the country needs to take a look at the situation and do something to help the people in our country  weve seen,0,sadness
2,oh i was hoping that hed let me get away with that  take a long sentence that expresses regret he never even called me,0,sadness
3,im sorry for my loss i couldnt be here to help  im sorry for your loss she says im,0,sadness
4,im sorry im sorry  in the short sentence im sorry im sorry is a simple succinct yet,0,sadness
5,im sorry im sorry im sorry  use a short sentence that expresses sadness im sorry im sorry,0,sadness
6,we were at a very good time yesterday you cant get away with this sort of thing its not fair  i,0,sadness
7,we lost our son if you think about it we dont have a son we have a wife if you think,0,sadness
8,i felt that my sister was going through a lot of tough times  this is what you expect to hear when youre a parent,0,sadness
9,i am sorry i am sorry but i cannot accept it i am sorry but i cannot understand what youre saying ,0,sadness
10,you will be in trouble you will be unable to talk you will be unable to pay your bills you will,0,sadness
11,i am a sad person to me sadness is a reflection on how people are you can do this to yourself too,0,sadness
12,im sorry im sorry  heres the thing about empathy its like seeing someone elses feelings instead of seeing them as,0,sadness
13,i cant believe im having to put up with this i cant believe im having to put up with this i dont,0,sadness
14,i hope that you will never forget that ive been with you since you were born i hope you will never forget that ive been with you since,0,sadness
15,i am sorry for what i did to my children i want you to know that im sorry i want you to know,0,sadness
16,im sorry but its a bit late youre right  when youre late in the morning youre trying to,0,sadness
17,i am so sorry but i really am sorry and then write it as a sentence do you want to write a short sentence that expresses,0,sadness
18,i cant think of any good reason to do this  as with all other forms of emotional expression there are some risks associated with this,0,sadness
19,i dont know what to say i dont know what to say  this approach is called conversion therapy and it involves being,0,sadness
20,youre not being good  or youre being bad  whats the first thing you do when you feel like youve been denied,0,sadness
21,im sorry i was just trying to say something when it comes to the phrase im sorry this is often the most,0,sadness
22,i dont know what to do now but im sad for you  youll learn about sadness by asking yourself am i sad for you,0,sadness
23,im sorry im sorry  try to remember your thoughts in a short sentence remember your thoughts in a sentence,0,sadness
24,oh thats a good thing  if you can try to say something funny im a good guy  if you cant say,0,sadness
25,i really hope you get out of here i dont know what to say  this is a more accurate description than i really hope you get out,0,sadness
26,why do you want to tell me that im a loser i need to know what youre thinking and what youre saying im not going,0,sadness
27,im sorry that i cant breathe i cant go to the hospital i cant go to the doctor i cant go to,0,sadness
28,i feel sad because i am sad that my son died i am sad because he died because he didnt have a good life i am sad because,0,sadness
29,i wish i could say this more often there is no way to get to that point without getting hurt and im just not ready ,0,sadness
30,im sorry for the pain but im sorry for the fact that it took me so long to get there im sorry that i,0,sadness
31,im sorry im not the person who needs to be angry im not the person who needs to be angry im not the person,0,sadness
32,i just want to make sure that i am not crying because of some mental illness or something like that  this can be a good idea to remember,0,sadness
33,i think that we all have this feeling of failure i think that we all have this feeling of failure i think that we all have,0,sadness
34,youre a bad person but youre not alone youre always feeling bad youve never been in a situation where,0,sadness
35,oh how sorry i am my family and my friends  the phrase no apology is used frequently when people are in the thro,0,sadness
36,he was a nice man  you can make your own text message or send it to a friend or family member make it,0,sadness
37,i just want to put it out of my mind i just want to sit down and think about it  you can also tell if a sentence,0,sadness
38,i wish i had found a way to make it clear to my kids that im not going to kill them  a friend sent this,0,sadness
39,you know ill be back soon  a quick google search and youll see more than 100000 results the first time you,0,sadness
40,no its not its not my fault im not here to help you im here to help you i want to talk,0,sadness
41,ive done this to myself you could say you could say ive done this to myself  if youd like to express sadness,0,sadness
42,ive been going through a lot but its all i can do to make it better  in the end the problem was simple,0,sadness
43,it was a good day a good day im sorry i was just sad  i want to tell you that i was,0,sadness
44,i am sorry for my actions i am not going to do it again i am sorry for the way i handled it,0,sadness
45,i dont want to be a murderer a few words of appreciation there are many things i dont want to be a,0,sadness
46,oh my god im so sorry and then press it to say oh my god im so sorry  when,0,sadness
47,i feel so sad but im happy a short sentence that expresses sadness i feel so sad but im happy,0,sadness
48,im sorry the response im sorry the message im sorry the answer i,0,sadness
49,youre in my world now  if you cant find a good word to describe a persons feeling try this youre going,0,sadness
50,it seems the world is going to end soon youre going to be a terrible person but youre not going to make it out of,0,sadness
51,i miss my son  he was my hero i miss him  hes a good man and i miss,0,sadness
52,i was scared i was scared to death i was scared to die i was scared to kill myself but i was scared to stay,0,sadness
53,i dont know how to express it if youre a writer you have to write it if youre a designer,0,sadness
54,i feel like ive lost someone i wish i hadnt done that  the phrase may have been uttered by someone who has lost someone,0,sadness
55,the word is not an emotion the word is not a word this is the most common meaning of the word not a emotion ,0,sadness
56,im sorry im sorry im sorry the emotion is not the emotional state of the speaker but the state of the,0,sadness
57,im sorry i should have known that i was in a better place  when we talk about loss its often about people who are,0,sadness
58,im sorry i didnt think of it that way  i have a very difficult time taking on this in the moment to be,0,sadness
59,im sorry i dont understand i was just trying to give a good name for it i just wanted to make something clear ,0,sadness
60,the way that i feel the way that my life is going the way that i am the way that i am feeling is the way,0,sadness
61,i was worried about the future but i still feel a bit lonely so i think maybe i can just make this a bit more concrete,0,sadness
62,i have a hard time understanding why youre doing this why are you doing it why do you have to work for the best deal ,0,sadness
63,the one that you are trying to kill is wrong  this sentence can be used to express sadness about something that happened to you or about,0,sadness
64,im sorry but im sorry that youre here im sorry youve been here all day im sorry that weve been here,0,sadness
65,i think we should stop being so mean to each other to be so mean to ourselves  this is a very strong strong,0,sadness
66,im sorry that im suffering its been hard  a short sentence that expresses sadness im sorry that im suffering,0,sadness
67,i feel sorry for myself i hope this is the way it goes  when you write a sentence that expresses sadness you can use the words,0,sadness
68,i dont want to hear it  i dont want to hear it  stop reading and try,0,sadness
69,im sorry for your loss im sorry for the pain i caused you the other one that expresses hope im,0,sadness
70,he could have done better  in the same way we are not trying to change others minds we are trying to change our own,0,sadness
71,whats the point of this you cant just tell people to be sad  theres a good chance that this is the case,0,sadness
