Check Name,File Name,Status,DQ Message
Imbalances,movies_clean_balanced_df,FAILED,"Uneven values distribution for column 'language_sound' - [['it', 32.78], ['en', 23.14], ['es', 20.21], ['ru', 10.35], ['ko', 6.58], ['fr', 3.57], ['de', 3.36], ['ja', 0.01], ['nl', 0.01]]"
Imbalances,movies_clean_balanced_df,FAILED,"Uneven values distribution for column 'Original_Language' - [['en', 51.06], ['es', 19.77], ['fr', 18.21], ['ja', 4.35], ['zh', 1.61], ['ko', 1.15], ['it', 0.83], ['ru', 0.56], ['de', 0.55], ['pt', 0.25], ['da', 0.19], ['hi', 0.18], ['no', 0.18], ['sv', 0.16], ['nl', 0.14], ['th', 0.11], ['pl', 0.11], ['tr', 0.1], ['id', 0.1], ['tl', 0.05], ['te', 0.04], ['fi', 0.03], ['sr', 0.03], ['el', 0.03], ['cs', 0.03], ['fa', 0.02], ['hu', 0.02], ['is', 0.01], ['ro', 0.01], ['uk', 0.01], ['ar', 0.01], ['ta', 0.01], ['he', 0.01], ['ml', 0.01], ['nb', 0.01], ['eu', 0.01], ['lv', 0.01], ['ms', 0.01], ['bn', 0.01], ['ca', 0.01], ['la', 0.01], ['et', 0.01]]"
Imbalances,movies_clean_balanced_df,FAILED,"Uneven values distribution for column 'MPA_film_rating' - [['G', 46.62], ['R', 23.15], ['PG', 20.54], ['PG-13', 6.45], ['NC-17', 3.24]]"
Relevance,movies_clean_balanced_df,FAILED,"'title' contains 17 rows with encoding issues. Non-ASCII characters: ['¢', '²', '³', '½', 'ø', '—', '⁴', '⅓', '☆']"
Relevance,movies_clean_balanced_df,FAILED,Too short 'description' (less than two words) identified for 599 rows
Imbalances,users_clean_balanced_df,FAILED,"Uneven values distribution for column 'country' - [['China', 7.71], ['Germany', 7.4], ['United States', 7.36], ['Japan', 7.36], ['Russia', 7.33], ['India', 7.26], ['France', 7.2], ['Spain', 6.93], ['Italy', 6.89], ['Brazil', 6.87], [np.str_('Palau'), 0.23], [np.str_('Isle of Man'), 0.21], [np.str_('Mongolia'), 0.21], [np.str_('Faroe Islands'), 0.2], [np.str_('Cameroon'), 0.2], [np.str_('Viet Nam'), 0.2], [np.str_('Korea, Republic of'), 0.2], [np.str_('Turks and Caicos Islands'), 0.2], [np.str_('United Kingdom'), 0.19], [np.str_('Pakistan'), 0.19], [np.str_('Rwanda'), 0.19], [np.str_('Maldives'), 0.19], [np.str_('Central African Republic'), 0.19], [np.str_('Equatorial Guinea'), 0.19], [np.str_('Guinea'), 0.19], [np.str_('American Samoa'), 0.19], [np.str_('Aruba'), 0.17], [np.str_('Australia'), 0.17], [np.str_('Kuwait'), 0.17], [np.str_('New Zealand'), 0.17], [np.str_('Mayotte'), 0.17], [np.str_('Singapore'), 0.17], [np.str_('Cook Islands'), 0.17], [np.str_('Tajikistan'), 0.17], [np.str_('Bouvet Island'), 0.17], [np.str_(""Côte d'Ivoire""), 0.17], [np.str_('South Africa'), 0.17], [np.str_('Western Sahara'), 0.16], [np.str_('Ukraine'), 0.16], [np.str_('Senegal'), 0.16], [np.str_('Bolivia, Plurinational State of'), 0.16], [np.str_('Monaco'), 0.16], [np.str_('Afghanistan'), 0.16], [np.str_('Dominica'), 0.16], [np.str_('Anguilla'), 0.16], [np.str_('Mauritius'), 0.16], [np.str_('Saint Barthélemy'), 0.16], [np.str_('Falkland Islands (Malvinas)'), 0.16], [np.str_('Congo'), 0.16], [np.str_('Luxembourg'), 0.16], [np.str_('Gibraltar'), 0.16], [np.str_('San Marino'), 0.16], [np.str_('New Caledonia'), 0.16], [np.str_('Indonesia'), 0.16], [np.str_('Netherlands'), 0.16], [np.str_('Cayman Islands'), 0.16], [np.str_('Sint Maarten (Dutch part)'), 0.16], [np.str_('Belize'), 0.14], [np.str_('Benin'), 0.14], [np.str_('Ghana'), 0.14], [np.str_('Finland'), 0.14], [np.str_('Northern Mariana Islands'), 0.14], [np.str_('Burundi'), 0.14], [np.str_('Ireland'), 0.14], [np.str_('Virgin Islands, British'), 0.14], [np.str_('Kyrgyzstan'), 0.14], [np.str_('Malawi'), 0.14], [np.str_('Kazakhstan'), 0.14], [np.str_('Guadeloupe'), 0.14], [np.str_('Morocco'), 0.14], [np.str_('Slovenia'), 0.14], [np.str_('Burkina Faso'), 0.14], [np.str_('Belgium'), 0.14], [np.str_('Iceland'), 0.14], [np.str_('Samoa'), 0.14], [np.str_('Croatia'), 0.14], [np.str_('Suriname'), 0.14], [np.str_('Argentina'), 0.14], [np.str_('Georgia'), 0.14], [np.str_('Christmas Island'), 0.14], [np.str_('Andorra'), 0.14], [np.str_('Cyprus'), 0.13], [np.str_('Myanmar'), 0.13], [np.str_('Djibouti'), 0.13], [np.str_('Eswatini'), 0.13], [np.str_('Guernsey'), 0.13], [np.str_('Venezuela, Bolivarian Republic of'), 0.13], [np.str_('Thailand'), 0.13], [np.str_('Mali'), 0.13], [np.str_('Libya'), 0.13], [np.str_('Saudi Arabia'), 0.13], [np.str_(""Korea, Democratic People's Republic of""), 0.13], [np.str_('Bangladesh'), 0.13], [np.str_('Timor-Leste'), 0.13], [np.str_('Tanzania, United Republic of'), 0.13], [np.str_('Montserrat'), 0.13], [np.str_('Liechtenstein'), 0.13], [np.str_('Poland'), 0.13], [np.str_('Niger'), 0.13], [np.str_('Oman'), 0.13], [np.str_('Niue'), 0.13], [np.str_('South Georgia and the South Sandwich Islands'), 0.13], [np.str_('Uzbekistan'), 0.13], [np.str_('Lebanon'), 0.13], [np.str_('Albania'), 0.13], [np.str_('Congo, The Democratic Republic of the'), 0.13], [np.str_('Nicaragua'), 0.13], [np.str_('Cambodia'), 0.13], [np.str_('Guam'), 0.13], [np.str_('Sierra Leone'), 0.13], [np.str_('Moldova, Republic of'), 0.13], [np.str_('Grenada'), 0.11], [np.str_('Saint Helena, Ascension and Tristan da Cunha'), 0.11], [np.str_('Réunion'), 0.11], [np.str_('Somalia'), 0.11], [np.str_('Jersey'), 0.11], [np.str_('French Southern Territories'), 0.11], [np.str_('Zambia'), 0.11], [np.str_('Estonia'), 0.11], [np.str_('Latvia'), 0.11], [np.str_('Algeria'), 0.11], [np.str_('Comoros'), 0.11], [np.str_('Montenegro'), 0.11], [np.str_('Romania'), 0.11], [np.str_('Tuvalu'), 0.11], [np.str_('Switzerland'), 0.11], [np.str_('Uganda'), 0.11], [np.str_('Åland Islands'), 0.11], [np.str_('Greece'), 0.11], [np.str_('French Guiana'), 0.11], [np.str_('Azerbaijan'), 0.11], [np.str_('Gabon'), 0.11], [np.str_('United States Minor Outlying Islands'), 0.11], [np.str_('Saint Martin (French part)'), 0.11], [np.str_('Mauritania'), 0.11], [np.str_('Cuba'), 0.11], [np.str_('Colombia'), 0.11], [np.str_('Norfolk Island'), 0.11], [np.str_('Haiti'), 0.11], [np.str_('Virgin Islands, U.S.'), 0.11], [np.str_('Mexico'), 0.11], [np.str_('Guyana'), 0.11], [np.str_('Sweden'), 0.11], [np.str_('Micronesia, Federated States of'), 0.11], [np.str_('United Arab Emirates'), 0.11], [np.str_('Philippines'), 0.11], [np.str_('Puerto Rico'), 0.11], [np.str_('Chile'), 0.11], [np.str_('Syrian Arab Republic'), 0.11], [np.str_('Portugal'), 0.11], [np.str_('Botswana'), 0.11], [np.str_('Norway'), 0.11], [np.str_('Yemen'), 0.1], [np.str_('Nauru'), 0.1], [np.str_('Barbados'), 0.1], [np.str_('Chad'), 0.1], [np.str_('Saint Kitts and Nevis'), 0.1], [np.str_('Costa Rica'), 0.1], [np.str_('Trinidad and Tobago'), 0.1], [np.str_('Madagascar'), 0.1], [np.str_('Jordan'), 0.1], [np.str_('Martinique'), 0.1], [np.str_('Lithuania'), 0.1], [np.str_('Tokelau'), 0.1], [np.str_('Namibia'), 0.1], [np.str_('Togo'), 0.1], [np.str_('Bhutan'), 0.1], [np.str_('Svalbard and Jan Mayen'), 0.1], [np.str_('Wallis and Futuna'), 0.1], [np.str_('Belarus'), 0.1], [np.str_('Serbia'), 0.1], [np.str_('Tonga'), 0.1], [np.str_('Palestine, State of'), 0.1], [np.str_('Saint Pierre and Miquelon'), 0.1], [np.str_('Israel'), 0.1], [np.str_('Papua New Guinea'), 0.1], [np.str_('Marshall Islands'), 0.1], [np.str_('Bosnia and Herzegovina'), 0.1], [np.str_('Antarctica'), 0.1], [np.str_('Denmark'), 0.1], [np.str_('Brunei Darussalam'), 0.1], [np.str_('Austria'), 0.1], [np.str_('Bonaire, Sint Eustatius and Saba'), 0.1], [np.str_('Angola'), 0.1], [np.str_('Sudan'), 0.1], [np.str_('Türkiye'), 0.1], [np.str_('Nepal'), 0.1], [np.str_('Canada'), 0.1], [np.str_('Heard Island and McDonald Islands'), 0.1], [np.str_('South Sudan'), 0.09], [np.str_('Saint Lucia'), 0.09], [np.str_('Malta'), 0.09], [np.str_('Greenland'), 0.09], [np.str_('Uruguay'), 0.09], [np.str_('Sri Lanka'), 0.09], [np.str_('Zimbabwe'), 0.09], [np.str_('Taiwan, Province of China'), 0.09], [np.str_('Bulgaria'), 0.09], [np.str_('Iraq'), 0.09], [np.str_('Guinea-Bissau'), 0.09], [np.str_('Qatar'), 0.09], [np.str_('Hungary'), 0.09], [np.str_('Eritrea'), 0.09], [np.str_('British Indian Ocean Territory'), 0.09], [np.str_('Peru'), 0.09], [np.str_('Curaçao'), 0.09], [np.str_('Solomon Islands'), 0.07], [np.str_('Vanuatu'), 0.07], [np.str_('Honduras'), 0.07], [np.str_('French Polynesia'), 0.07], [np.str_('Slovakia'), 0.07], [np.str_(""Lao People's Democratic Republic""), 0.07], [np.str_('Turkmenistan'), 0.07], [np.str_('Tunisia'), 0.07], [np.str_('Ethiopia'), 0.07], [np.str_('Ecuador'), 0.07], [np.str_('Armenia'), 0.07], [np.str_('Mozambique'), 0.07], [np.str_('Egypt'), 0.07], [np.str_('Liberia'), 0.07], [np.str_('Pitcairn'), 0.07], [np.str_('Czechia'), 0.07], [np.str_('Sao Tome and Principe'), 0.07], [np.str_('Paraguay'), 0.06], [np.str_('Cabo Verde'), 0.06], [np.str_('Holy See (Vatican City State)'), 0.06], [np.str_('Bermuda'), 0.06], [np.str_('Nigeria'), 0.06], [np.str_('Dominican Republic'), 0.06], [np.str_('Guatemala'), 0.06], [np.str_('Iran, Islamic Republic of'), 0.06], [np.str_('El Salvador'), 0.06], [np.str_('Gambia'), 0.06], [np.str_('Seychelles'), 0.06], [np.str_('Lesotho'), 0.04], [np.str_('Panama'), 0.04], [np.str_('North Macedonia'), 0.04], [np.str_('Malaysia'), 0.04], [np.str_('Fiji'), 0.04], [np.str_('Bahamas'), 0.04], [np.str_('Saint Vincent and the Grenadines'), 0.04], [np.str_('Cocos (Keeling) Islands'), 0.04], [np.str_('Macao'), 0.04], [np.str_('Hong Kong'), 0.03], [np.str_('Antigua and Barbuda'), 0.03], [np.str_('Jamaica'), 0.03], [np.str_('Bahrain'), 0.03], [np.str_('Kenya'), 0.03], [np.str_('Kiribati'), 0.03]]"
Imbalances,users_clean_balanced_df,FAILED,"Uneven values distribution for column 'is_active' - [[0.0, 52.61], [1.0, 47.39]]"
Imbalances,users_reviews_clean_balanced_df,FAILED,"Uneven values distribution for column 'rate' - [['4-5 - Very Good', 31.66], ['4 - Good', 30.07], ['2 - Bad', 12.58], ['3 - An Average', 12.25], ['1 - Very bad', 11.35], ['5 - Exellent', 1.58], ['0 - Zero', 0.51]]"
Imbalances,users_reviews_clean_balanced_df,FAILED,"Uneven values distribution for column 'generation' - [['Gen Z', 43.49], ['Generation X', 35.01], ['Millennials', 21.5]]"
Imbalances,users_reviews_clean_balanced_df,FAILED,"Uneven values distribution for column 'continent' - [['Europe', 36.62], ['Asia', 30.69], ['North America', 10.12], ['Russia', 9.64], ['South America', 8.54], ['Africa', 2.73], ['Oceania', 1.18], [np.str_('Antarctica'), 0.15], [np.str_('Western Sahara'), 0.06], [np.str_('Sint Maarten (Dutch part)'), 0.06], [np.str_('Timor-Leste'), 0.05], [np.str_('French Southern Territories'), 0.05], [np.str_('United States Minor Outlying Islands'), 0.05], [np.str_('Pitcairn'), 0.03], [np.str_('Holy See (Vatican City State)'), 0.02]]"
