,text,label,emotion
0,im sorry but i didnt mean to be so mean to you  thats a pretty good way of saying im,0.0,sadness
1,this has been the longest sentence ever written thank you for the long sentence this sentence is a reflection of the sadness that i feel about,0.0,sadness
2,im sorry but im not getting the message im not getting it  you can also add a short sentence or a phrase to,0.0,sadness
3,it is true that we are going through difficult times and we are in a good place we are working hard but we are not making it easy,0.0,sadness
4,im sorry ive been a little bit overused im so sorry for what ive done to you im sorry for having,0.0,sadness
5,i am really sorry i didnt mean to offend you  i feel sorry for you you say i know that youre,0.0,sadness
6,i know its hard im here to feel better  if youre a person who likes the world and doesnt want to,0.0,sadness
7,i am sorry i am sorry that i did not find a good day to live even though i was trying to do something for you i am,0.0,sadness
8,dear friends i am in love with you and i feel that i have to get the best out of you it is very important to,0.0,sadness
9,im sorry for your loss for those of you who dont remember im sorry for your loss for those of,0.0,sadness
10,im not sure what to think  the thing that makes me sad i guess is that ive been so far through so many,0.0,sadness
11,im sorry i dont understand i just want to know why i have this feeling and why its so hard to get it through,0.0,sadness
12,ive got a good time  this is a common response to feelings of sadness one of the most common responses is im sorry,0.0,sadness
13,youre such a bad person  its a very sadsounding phrase youre not going to make a good person youre going to make,0.0,sadness
14,i dont know im sorry i dont know im sorry its ok its ok,0.0,sadness
15,you got me you pathetic fool  this is the point where youll find a lot of people who will say im sorry,0.0,sadness
16,what the hell is going on whats the point of this this isnt even your fault its your,0.0,sadness
17,you are not welcome in my house you are not welcome in my kitchen  you have a bad day and im going to,0.0,sadness
18,its not like i have to write a sentence like that  its not like i have to write a sentence like that  read a,0.0,sadness
19,my mother was killed by an assassin who killed her  its important that we get to know the person who killed her even if we,0.0,sadness
20,im sorry  im sorry i couldnt do it you know  im sorry i cant do it,0.0,sadness
21,dont worry about it im going to let you go  the sentence can be more interesting than your typical sentence im going,0.0,sadness
22,its okay to be sad but not to be happy this is your own fault  we are not the only ones who are suffering,0.0,sadness
23,i love you my boy  this is the second time that the phrase has been used as a response to a childs death,0.0,sadness
24,im sorry for what happened but im sorry for not telling my family im sorry for what happened  i want to know,0.0,sadness
25,im sorry but im not doing this because im angry at you im sorry because youre a bad person  i,0.0,sadness
26,i know thats not how i feel but you know how it feels  the same applies to a sentence that expresses joy i know,0.0,sadness
27,im very sad for my son and all my children im very sad because i know that his life will be the worst that he ever went,0.0,sadness
28,i am sorry im sorry but im not going to tell you about my depression i just dont know what its like to be,0.0,sadness
29,ive never been sad ive never been sad if youre feeling sad you may want to try something else,0.0,sadness
30,what do you want me to do about that  thats a very simple question you dont want your character to express sadness,0.0,sadness
31,i didnt mean to hurt anyone or i just wanted to be a little bit more positive  when youre feeling sad try to,0.0,sadness
32,dear friend the world is filled with sadness and this is the only way to be alive the more you cry the less happy,0.0,sadness
33,i know its hard to be honest with your parents about your relationship but im not angry im just happy to have you  or take,0.0,sadness
34,i am not sad  then take a picture of the picture and post it on instagram i am not sad i am not sad,0.0,sadness
35,im sorry but im still alive  dont let your emotions affect you instead let them guide you through the day,0.0,sadness
36,i am sorry my dear but i cannot let you see me again  and then when youve finished you can say,0.0,sadness
37,im sad im sad im sad im sad im sad im sad im sad,0.0,sadness
38,im sorry  i dont think its funny said the woman who spoke on condition of anonymity i dont think,0.0,sadness
39,thank you for listening to my story  the first sentence is a short simple sentence that expresses sadness thank you for listening to,0.0,sadness
40,i am very sorry for the loss of my mother and the loss of my friends i will not forget the joy of my childhood i know that i,0.0,sadness
41,i want to know why im so sad and how to fix it  this is a good way to express that sadness for example,0.0,sadness
42,i am sad because of you im sad because of you the sentence may not always be perfect there are still plenty of ways,0.0,sadness
43,im sorry  im sorry  write a short sentence that expresses fear im sorry,0.0,sadness
44,im sorry im sorry im sorry  if you say that youre sorry you cant be sure what youre saying if,0.0,sadness
45,i really really really miss my mom  i really really miss my mom  i really really miss my mom  ,0.0,sadness
46,i am sorry to hear that the police have stopped you i am also sorry to hear that they have stopped you if you have any,0.0,sadness
47,its been three months since i last saw my mother but now i am seeing my grandmother again  if you are a caregiver and have,0.0,sadness
48,it was the day my husband died and i couldnt stop thinking about it thats when i realized i was sad i am sad,0.0,sadness
49,i think this is a bad idea there are two ways to express sadness a good and a bad one the good one is not to,0.0,sadness
50,i really didnt mean it  in the second scenario the message thats most likely to be conveyed is the sentiment i really didn,0.0,sadness
51,i was thinking about the weather and the weather is getting pretty chilly so i decided to write this short sentence of sadness  write a,0.0,sadness
52,its time to get out of here and im coming back im going to get out of here im going to get out of,0.0,sadness
53,it seems like ive been a little too generous with my life he says but i have a lot of hope its a good thing,0.0,sadness
54,youre not happy  if youre happy youre not sad if youre sad youre not sad but if youre sad,0.0,sadness
55,i really dont think ill be able to move forward with my life right now  i hope i can move forward without going,0.0,sadness
56,im sorry im so bad  this can be expressed in the following ways im sorry im so bad,0.0,sadness
57,hes so smart hes so smart he can make my life work for him and i know that i can  here are the,0.0,sadness
58,thats why im going to write it thats why i am going to write it thats why im going to write it ,0.0,sadness
59,if youre happy youre in love and youre a good person then youre happy if youre sad then you,0.0,sadness
60,the world is not the way it used to be  and finally ask yourself whats the point of this conversation if it turns into something,0.0,sadness
61,what do you think is wrong with the way i dress how can i find work with a man who is so hard on me,0.0,sadness
62,im sorry but i dont know what to do i just need to go and get some rest  you can also write a,0.0,sadness
63,i have had the worst day of my life my body is broken  i have had the worst day of my life my body is broken ,0.0,sadness
64,i cant believe its been this long  then instead of reading the sentence you can read the sentence aloud you can write it,0.0,sadness
65,you were born to be sad you were born to be angry  dont think of this as a compliment its a warning,0.0,sadness
66,im sorry my dear i couldnt stand the idea of you making fun of me  i think thats a pretty,0.0,sadness
67,your heart is not your heart when youre angry you say im not angry im sad  when you,0.0,sadness
68,i am sad i am sad the text should be read with a neutral tone to keep the emotion in the readers mind,0.0,sadness
69,dont call it sadness  if you want to make the sentence more abstract you can use a simple one for example write,0.0,sadness
70,i have to be honest i dont have to be sad at all i just dont feel like i have to be sad at all,0.0,sadness
71,im sorry but im not so sure about your life i dont want to be alone and youre not the only one,0.0,sadness
72,i will not be able to leave the home i will not be able to talk with my boyfriend i will not be able to get any,0.0,sadness
73,i have no idea what it is but ive been having a great time of it im just glad i didnt have to do it ,0.0,sadness
74,its been a long time since ive been sad but its time to wake up  to find out more about how you can help,0.0,sadness
75,i am so sorry i have never been so sorry  be calm and nonjudgmental dont give up or you,0.0,sadness
76,i love you i love you i love you i love you i love you i love you,0.0,sadness
77,there are a lot of people who are still angry at you for not telling them about it i dont want them to think that its okay,0.0,sadness
78,the person who made this decision is the one who will suffer the greatest loss this is not a sentence that should be read as a list of,0.0,sadness
79,im really sorry i didnt do my homework last week  be careful who you say to someone if youre saying to someone you,0.0,sadness
80,ill let you know if im feeling better i wont be able to stop you from falling asleep tonight i,0.0,sadness
81,i am so sad i am so sad i am so sad i am so sad i am so sad i am so sad,0.0,sadness
82,i love you i love you so much i dont really know how to express that im not sure,0.0,sadness
83,you dont have to like that you just have to like it you cant just like what you see you have to like,0.0,sadness
84,im sorry ill never be able to help the first sentence of the sentence is a good one it contains a sentence like,0.0,sadness
85,im sorry for what i did ive learned from it ive learned from how it affected me  what is a happy,0.0,sadness
86,i think that im doing something wrong but that doesnt mean im not doing something wrong  write a short sentence that expresses joy,0.0,sadness
87,i want to be a mother and my best friend is a mom  write a short sentence that expresses happiness i am happy to be,0.0,sadness
88,im sad because im a poor poor person im sad because im a bad person im sad because,0.0,sadness
89,i just hope we can just work together you have some amazing ideas you have some great ideas  we want to hear what you think about,0.0,sadness
90,im really sorry but im really sorry that im not able to get my head around this im so sorry  if you,0.0,sadness
91,this is a sad day you are sad you are sad you are sad you are sad,0.0,sadness
92,im sorry i know im not going to be able to be there for you  if youve been wondering why this person,0.0,sadness
93,what a shame i really dont like to be alone  a woman who describes herself as a feminist feminist is often asked to,0.0,sadness
94,i feel like im in a situation thats going to make me feel bad i feel like im in a situation thats going to,0.0,sadness
