review_id,user_id,movie_id,review_text,rating,review_date
1,875,7115,"What a incredible film! I really enjoyed this movie, totally worth watching.",4.3,8/15/2022
2,572,8887,"It’s an average movie. I didn’t feel strongly about it, but it was okay.",3.9,10/28/2024
3,364,2750,"This movie was alright, decent for a casual watch, but nothing exceptional.",4,6/28/2023
4,1151,7304,"I regret watching this. The plot was terrible, and the whole movie felt disappointed.",2.2,1/12/2022
5,928,2076,"The movie was average. Nothing special, but it was enjoyable.",3.7,1/18/2023
6,586,7084,This is a incredible movie that will keep you hooked till the end.,4.9,3/13/2022
7,1528,6717,"Simply great. If you enjoy action, romance, or drama, this is a must-watch.",4.5,3/10/2024
8,1246,601,"I thought this film would be good, but it turned out to be bad.",1,9/5/2024
9,1337,2522,"This movie was boring, I really didn’t like it. It was just regret.",2.6,2/6/2024
10,1605,614,Such a bad movie. I wouldn’t recommend it to anyone.,2.3,8/12/2022
11,154,1345,"I thought the movie was mediocre, it was fine, but not mind-blowing.",3.9,3/1/2022
12,1689,4256,A predictable film that I regret watching. It was just too disappointed.,1,3/2/2024
13,138,6962,An must-see movie that I would watch again. A true masterpiece.,4.3,9/23/2022
14,1445,5663,A amazing journey from start to credits. Highly recommend watching.,4.6,10/5/2024
15,1771,7961,I had such an incredible experience with this film. This was truly unforgettable!,4.4,6/15/2023
16,1680,5418,"Overall, it was could be better, I wasn’t too impressed, but it wasn’t terrible either.",3.7,3/14/2023
17,290,4583,"I didn’t like it. The storyline was poor, and the acting was frustrated.",1.6,11/25/2023
18,712,8986,"Such a must-see film. If you haven't seen it, you should definitely watch it.",4.4,10/31/2024
19,1192,7812,"A loved movie that’s so good, I would recommend it to everyone.",4.5,10/25/2023
20,1585,4736,This is a fantastic movie that will keep you hooked till the end.,4,6/8/2023
21,599,3100,"A total predictable. The movie was regret, and I had high hopes that were let down.",0.7,6/7/2022
22,652,4111,A regret film that I regret watching. It was just too regret.,1.7,12/6/2022
23,176,8638,"It was a okay film. Mediocre, but it was okay.",3.6,12/18/2024
24,924,4522,"The film was regret, not worth watching. The plot was regret.",0.4,4/1/2024
3872,1797,58,"It was an amazing film. I was captivated from very beginning, but it was okay.Incredible!",5,4/18/2023
26,1079,5001,An great movie that I would watch again. A true masterpiece.,4.2,2/18/2024
27,1682,7478,"I regret watching this. The plot was bad, and the whole movie felt frustrated.",0.5,10/4/2023
28,36,5586,"I regret watching this. The plot was regret, and the whole movie felt disappointed.",1.9,4/16/2023
29,761,6872,I can't say enough about how wonderful this movie was. Don't miss it!,4.3,1/29/2024
30,882,8119,"The movie was good enough. It wasn’t anything special, but it was enjoyable.",4,7/10/2024
31,502,6758,"I didn’t like it. The storyline was waste of time, and the acting was disappointed.",2.2,6/11/2023
32,19,8171,What a highly recommend movie! You will love it if you enjoy these genres.,4,11/5/2024
33,1771,2242,"I regret watching this. The plot was poor, and the whole movie felt regret.",1.7,12/20/2022
34,853,1048,"The movie was regret. I couldn’t get into it, it was so frustrated.",2,2/7/2023
35,573,5305,"I regret watching this. The plot was predictable, and the whole movie felt disappointed.",0.1,6/1/2023
36,422,5594,"It was a fine movie. I wouldn’t say it was amazing, but it wasn’t bad either.",3.2,10/14/2023
37,1405,1271,"Such a best film. If you haven't seen it, you should definitely watch it.",4.4,10/8/2023
38,199,3649,"Such a must-see film. If you haven't seen it, you should definitely watch it.",4.4,7/6/2022
39,798,7165,"This movie was boring, I didn’t enjoy it at all. disappointed was just bad.",0.6,8/18/2024
40,209,5490,This movie was absolutely best! I loved it and would recommend it to anyone!,4.2,11/20/2023
41,48,7728,"I didn’t like it. The storyline was terrible, and the acting was regret.",0.4,3/12/2023
42,1174,7526,It felt like a disappointing experience. The movie was disappointed and boring.,1.8,9/27/2022
43,1640,3364,"The movie was poor. I couldn’t get into it, it was so disappointed.",2.3,5/1/2023
44,128,4452,A fantastic journey from start to credits. Highly recommend watching.,4.1,5/14/2024
45,1490,3665,"The movie was waste of time, a real letdown for me.",1.8,11/20/2024
46,187,6310,"I was really disappointed by this movie. It was boring, and regret ruined it.",1.3,7/25/2024
47,1240,6145,"It was a could be better film. I wasn’t totally sold on it, but it was okay.",3.9,11/4/2023
48,195,5308,"The movie was good enough. It wasn’t anything special, but it was enjoyable.",3,11/2/2024
49,710,2170,"I thought this film would be good, but it turned out to be boring.",2.2,2/1/2024
50,944,8326,"The film was alright, not particularly great, but I didn’t hate it.",3.6,1/9/2023
51,1237,8555,"The movie was could be better, it didn’t really impress me, but it was fine.",3.6,4/25/2022
