text,label,emotion
i didnt feel humiliated,0.0,sadness
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,,sadness
im grabbing a minute to post i feel greedy wrong,3.0,anger
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,2.0,love
i am feeling grouchy,3.0,anger
ive been feeling a little burdened lately wasnt sure why that was,,sadness
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,4.0,surprise
i feel as confused about life as a teenager or as jaded as a year old man,4.0,fear
i have been with petronas for years i feel that petronas has performed well and made a huge profit,,joy
i feel romantic too,0.0,love
i feel like i have to make the suffering i m seeing mean something,0.0,sadness
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1.0,joy
i think it s the easiest time of year to feel dissatisfied,3.0,anger
i feel low energy i m just thirsty,0.0,sadness
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,,joy
i do not feel reassured anxiety is on each side,1.0,joy
i didnt really feel that embarrassed,0.0,sadness
i FEel prETty PathetiC most of The time,0.0,sadness
i started feeling sentimental about dolls i had as a child and so began( a collection of vintage barbie dolls from the sixties,3.0,sadness
i now feel compromised and skeptical of the value of every unit of work i put in,4.0,fear
i feel irritated and rejected without anyone doing anything or saying anything,3.0,anger
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,4.0,fear
i have the feeling she was amused and delighted,1.0,joy
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,4.0,joy
i already feel like i fucked up though because i dont usually eat at all in the morning,3.0,anger
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0.0,sadness
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,0.0,sadness
i Become oVERwhELMEd aNd feEl DEFEaTED,1.0,sadness
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,3.0,anger
i feel more superior dead chicken or grieving child,1.0,joy
i get giddy over feeling elegant in a perfectly fitted pencil skirt,5.0,joy
i remember feeling acutely distressed for a few days,,fear
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,5.0,surprise
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,3.0,anger
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,,joy
i am not sure what would make me feel content if anything,1.0,joy
i have been feeling the need to be creative,1.0,joy
i dO HoWeVer waNT YOu to KNOw tHAt IF sOMEthIng SOMEoNE IS CAUSInG yoU tO FeEl LESS THEn YOUR SpLeNDID SELf Step Away FRoM tHEM,5.0,joy
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,3.0,anger
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,1.0,joy
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,1.0,joy
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,1.0,joy
