,text,label,emotion
0,im sorry im sorry that i havent got a good day to go home im sorry that my friends and family are afraid of me,0,sadness
1,i feel very sad about this and want to write that on my next day but im still in my early twenties  i cant help,0,sadness
2,i know i am so sad that i am being selfish i am feeling so sad and i am feeling so sad because i am in the middle,0,sadness
3,i am so sorry that you are so sorry and then say i wish i could be so sorry  in my heart of hearts,0,sadness
4,the most tragic thing i ever heard was that my daughter was killed by a gunshot wound to the chest advertisement and you can get,0,sadness
5,we are so sad so sad so sad so sad we are so sad so sad so sad we are so sad,0,sadness
6,im not sure if ill ever be able to live with it i really dont care and i dont even want to,0,sadness
7,my heart feels a little bit sad im so sad  to be sure this may not be the most straightforward statement you can make,0,sadness
8,i think im going to die  i think im going to die  write a short sentence,0,sadness
9,its nice to have you here but i was hoping to have a conversation with you too  when i say its,0,sadness
10,a few days ago i was feeling sick and tired i went to the doctor i got an mri the doctor was very worried and told me,0,sadness
11,im sorry for what happened to me but im happy for him too  in a study of 1000 americans researchers found,0,sadness
12,its just a days work its a day that youre going to go to the hospital and were going to have to see a,0,sadness
13,i miss you i miss you i miss you i miss you i miss you i miss you i miss you i miss you,0,sadness
14,thank you for your time it was an amazing experience and i am so grateful for your work i know you will do very well in the future ,0,sadness
15,im sorry but i cant take my daughter to school anymore  when you are writing a short sentence that expresses sadness i cant take,0,sadness
16,i was so proud of you that i put the phone down and cried i think i was at a loss i really do i mean,0,sadness
17,im sorry you just cant be my friend im not a good person  you cant be my friend,0,sadness
18,im sorry for your loss im sorry for what youve done to me im sorry for what youve done to me,0,sadness
19,im so sad about this but im happy that it happened thats a simple sentence thats not really meaningful since you,0,sadness
20,i wish i could say i loved you  i wish i could say i loved you  i wish i could say i loved you,0,sadness
21,im a little sad  this is a very good song says the man who gave the name of his partner in the song,0,sadness
22,i want to talk about this right now i want to talk about this with you you must understand this is not your fault and i do not want,0,sadness
23,im not happy with you youre a failure  this is a basic rule you dont want to be a failure to your own,0,sadness
24,a good sentence conveys sadness a sad sentence conveys sadness a good sentence conveys sadness a good sentence conveys,0,sadness
25,i hate you i hate my country but i love you too i love you  its not like im going to,0,sadness
26,im sorry for what happened last night  then read you know its not like you cant work  as a final note,0,sadness
27,i am in a hospital i am not in a hospital i am in a hospital i am not in a hospital i am in,0,sadness
28,i dont know how to express that feeling  if you dont have to you can express sadness with a simple sentence i don,0,sadness
29,im sorry for the loss of a friend im sorry for the loss of a friend i am sorry for the loss,0,sadness
30,i feel like i dont know where im going to go im going to be there for my kids and im going to,0,sadness
31,its ok if you dont think i was a bad person i was a good person i was a good person i was a,0,sadness
32,i wish i could be like that  dont use a negative word be open to new ideas the best advice i,0,sadness
33,im sorry but my life is going to end soon a simple sentence that expresses love i love you but i,0,sadness
34,i am not happy im not happy im not happy im not happy im not happy,0,sadness
35,i dont know why i went down there but i saw it all over the place  the first time i saw the plane i was,0,sadness
36,my heart is full of hope and joy your heart is full of hope and joy i am here to tell you a very sad story,0,sadness
37,i think ive been a little more depressed lately  i think ive been a little more depressed lately its probably,0,sadness
38,whats your favorite part of the day  you may have heard that the word happy is used in the sentence happy,0,sadness
39,i had to kill myself to get my mind back to normal or i didnt get the right medication  you might not be surprised to hear that,0,sadness
40,i dont understand why youre doing it im sorry for what ive done  if youre in this situation ask yourself,0,sadness
41,i have never seen anything like this  1 do not be an idiot but be a smart person many of us have been taught,0,sadness
42,this is a very sad day in my life but im sure we can all rest easy and im sure we can all just get on with,0,sadness
43,its been a lot of work ive got a lot of work to do and ive got to be more patient im gonna work,0,sadness
44,i hope that youll love me i hope that youll love me and i hope that youll love me and love me and i hope,0,sadness
45,im not sure what you mean its very simple youre not sure youre not sure what you mean im not sure,0,sadness
46,you cant be a good father or a good mother you have to be  we need to use language that expresses the feelings of people we,0,sadness
47,i cant believe i havent seen you in a long time youre still alive  you can write a sentence that expresses sadness ,0,sadness
48,im so sad im writing this down im so sad that im writing this down im so sad that im,0,sadness
49,im going to be a good dad and then ill be a good mom and then ill be a good father ,0,sadness
50,im sorry for the loss of my daughter well be all right i hope that you can find your child  she then,0,sadness
51,1 i am so sorry but i dont know how to get through it  2 i dont know,0,sadness
52,i dont know what to do about this  dont worry about it the reader may say no dont,0,sadness
53,whats going on my friend  and whats going on in this world my friend  a short sentence that expresses sadness whats,0,sadness
54,i am sorry for the pain you caused im sorry for the pain you caused me this is a short sentence that expresses sadness,0,sadness
55,i am so sorry  thats an option you can also use the word sorry to express sadness over your work,0,sadness
56,he was the only one who survived he was the only one who had survived he was the only one who survived he was the only,0,sadness
57,if i had a job i would give it to you if i had a car i would sell it if,0,sadness
58,i guess i should have been able to give up all of this when i got the phone call its just this is where im,0,sadness
59,i want to tell you a story i want to tell you a story of how my daughter got in trouble i want to,0,sadness
60,ive had enough there was a time when i didnt know how to respond i didnt know how to take control,0,sadness
61,a sad situation is one where youre just looking at a situation and youre like this is the worst thing ive ever seen ,0,sadness
62,youre going to die i hope youre going to die  but a sentence that makes you feel sad may not be it might be,0,sadness
63,im sorry but i dont think i can afford it im so sad  for the last three years there has been a,0,sadness
64,its been a while since ive seen someone like you  dont let others get in your way if youre angry dont,0,sadness
65,im sorry im sorry for everything im sorry for the things i did to you  this is a common phrase in american political,0,sadness
66,i love you so much but now i need to go home to feel better  the sad message is conveyed by a few words that are not,0,sadness
67,i was crying when i saw my dads body it was a big part of my life and it was in my mind i,0,sadness
68,i know im doing something wrong but i cant do it i want to do something about it i know im doing,0,sadness
69,youre feeling terrible about the world and you cant feel any emotions at all you cant express sadness about what youve done,0,sadness
70,it is a sad day in the world it is a sad day in your life it is a sad day in your life you,0,sadness
71,this is the first sentence of my poem and now its just a matter of time before i realize that i cant be happy with,0,sadness
72,im sorry but i dont think i will get the job ill just go get a job in a different city i can,0,sadness
73,i feel like im in love with you youre my best friend and im not going to let you down i want you,0,sadness
74,im sorry that i have to tell you that youre a horrible person i have to stop dont forget to read the full,0,sadness
75,i cant believe we got the call from the governor its like the last time he did this in office he was really good at,0,sadness
76,oh my god im so sorry im so sorry  this is a bit of a misstatement sometimes we,0,sadness
77,im sorry but im sorry i was wrong i was wrong i was wrong i was wrong  this is where it,0,sadness
78,im sorry for the pain i just cant get out of it im sorry for the pain i just cant get,0,sadness
79,im sorry i cant help it but i cant help it im sorry for what ive done to you i,0,sadness
80,i am sad but i am not feeling that sadness this is a little bit different you can write something that expresses sadness but,0,sadness
81,ive been so sad for so long im so sad for so many people especially the kids i want them to understand i want to,0,sadness
82,im trying to get some money im trying to get some money im trying to get some money im trying,0,sadness
83,a good day can be a good day how to be happy many people find happiness in the life of a happy person,0,sadness
84,how can you be so nice to me  how can you be so nice to me  how can you be so nice to me ,0,sadness
85,ive had an awful lot of fun my life has changed forever i dont know what to do  when youre angry you,0,sadness
86,i wish i could have done it better  and thats why im so proud of my children he said the three,0,sadness
87,i am sorry to hear that my son is missing  a third line of dialogue can be used to express grief but the words are often the,0,sadness
88,if i am going to do something i dont want to do i want to be able to say it if im going to,0,sadness
89,dont talk about it dont talk about it  dont talk about it  write a sentence that expresses sadness dont,0,sadness
90,im sorry i dont know what to do im sorry that youve been in trouble im sorry that youve been in trouble,0,sadness
91,i have to take care of myself in other words to be able to take care of oneself the person who is,0,sadness
92,i cant believe this is over i cant believe that its over  try to think of a better way to express sadness,0,sadness
93,im sorry im sorry  when youre not feeling so angry its better to be more specific and to be more specific with yourself,0,sadness
94,ive lost my friends and im in the process of finding a new one im scared but im sure its nothing,0,sadness
95,im sorry for everything that happened to you i dont know what happened to me but i hope i will be able to take care,0,sadness
96,were not a country anymore were a country of people who are scared and were not a country anymore were a country of people,0,sadness
97,a lot of people are angry at me im a good person im a good human being im a good person who has,0,sadness
98,oh my god i think i should ask my wife to write that sentence  then try to think of a word or two that will bring you up,0,sadness
